GeneID	logFC	logCPM	PValue	FDR
ENSMUSG00000026430	-4.123181814676675	8.296187137785791	1.1980932455074196e-36	1.585266536424028e-35
ENSMUSG00000067879	-6.809617541001052	7.518567475804872	4.061620383390489e-35	5.318184189501922e-34
ENSMUSG00000092083	-9.497434482754953	7.294818263735156	4.919228496062759e-35	6.3747115665473075e-34
ENSMUSG00000026457	2.2618763435603673	12.050186575418046	2.0978658856886804e-34	2.6908341003170116e-33
ENSMUSG00000026113	-2.6418587509418825	11.252938722297673	2.9042546240918134e-34	3.687523295437787e-33
ENSMUSG00000025909	-7.663911921884137	7.147874990118993	4.695324427095866e-34	5.902022804859503e-33
ENSMUSG00000042807	-3.4679452216475517	9.518976567944211	1.119638864037273e-33	1.3934515367275763e-32
ENSMUSG00000047343	6.992105644451601	7.789522747288824	1.532508388860971e-33	1.888591220390432e-32
ENSMUSG00000026235	-4.141031228384906	8.597458973966813	2.7354635324520852e-33	3.3383278255264766e-32
ENSMUSG00000049339	-3.1235758428114675	10.855797894999686	4.79451341861197e-33	5.794907083841583e-32
ENSMUSG00000025986	-3.273096941908462	10.005126482992315	5.333409599643216e-33	6.384853206430022e-32
ENSMUSG00000026090	-4.746141805404165	8.762265484121873	6.1531662146157386e-33	7.296726350728286e-32
ENSMUSG00000026259	-5.325635456829617	8.223345266070933	6.230488754249278e-33	7.319368564571348e-32
ENSMUSG00000026156	-4.239349323189028	7.648238809327987	1.0807024428406063e-32	1.2578175654172612e-31
ENSMUSG00000026003	3.0418634731038545	11.481054316343695	2.0335080464912748e-32	2.3450638664582867e-31
ENSMUSG00000026387	6.485050480017092	6.941496813395965	3.906587788048388e-32	4.464164408706204e-31
ENSMUSG00000026188	-7.268042460578487	6.7865284332753655	4.937783308121408e-32	5.591705962440189e-31
ENSMUSG00000057715	-6.312954115976646	7.413059206670935	7.509825944388983e-32	8.428438582229423e-31
ENSMUSG00000026207	2.5212001156817974	13.27698217880747	1.649857730866543e-31	1.8352842192028712e-30
ENSMUSG00000026721	-3.447248128125953	10.422180679140318	2.1078592669808726e-31	2.3241921917499622e-30
ENSMUSG00000037503	-2.5153468841658495	11.819563004726493	2.47906882393339e-31	2.7097300101602356e-30
ENSMUSG00000055322	2.966018198659455	13.228980209995708	7.874241830614835e-31	8.532691363002455e-30
ENSMUSG00000047021	-8.80626572535865	6.651344598926301	1.4760691201650995e-30	1.5858281060235298e-29
ENSMUSG00000042671	-8.098411159970698	12.763892662675463	2.7741905749123967e-30	2.95521826497024e-29
ENSMUSG00000039323	-6.27729521417426	8.458490938764301	4.6082319648365346e-30	4.8676870418483394e-29
ENSMUSG00000103375	-7.225342013887888	6.741664903843914	8.47894937707154e-30	8.881699472482438e-29
ENSMUSG00000026697	5.90009635832727	8.900738206992877	2.556606077450723e-29	2.655912263930214e-28
ENSMUSG00000064246	-4.668361349015044	7.287778405945714	3.0597650877887507e-29	3.152561242090541e-28
ENSMUSG00000026179	-2.7870392140625886	11.21846419481659	3.1657606702527976e-29	3.2352529776485907e-28
ENSMUSG00000026123	-2.338260585016781	11.600226088380825	5.951862122877073e-29	6.033460232626194e-28
ENSMUSG00000019699	-3.270910044018533	10.566051278588446	8.143601484289992e-29	8.189205652602016e-28
ENSMUSG00000096929	-3.612912279673851	10.567299839853012	2.0093473268891624e-28	2.0045631665870453e-27
ENSMUSG00000026109	-3.905166023642838	8.727002677677493	2.9873506471154907e-28	2.9567714672631275e-27
ENSMUSG00000067081	4.101624628805493	8.0260269952905	3.377357927774633e-28	3.316671027509933e-27
ENSMUSG00000073678	-2.951291848225366	8.865955793584364	4.0685989293948e-28	3.964518491666095e-27
ENSMUSG00000018199	-3.059195617950352	9.97075210532824	4.636928422455408e-28	4.483553097712652e-27
ENSMUSG00000055013	-3.1636131637826677	11.468385304765059	5.874969622355717e-28	5.6372800116802565e-27
ENSMUSG00000026489	4.193358281250277	12.764385266455552	7.156617380133531e-28	6.815051550627158e-27
ENSMUSG00000037872	-3.6753870787891696	9.542311388487615	8.423932766759296e-28	7.96156653219281e-27
ENSMUSG00000026389	3.3397584727610923	8.131727742538821	8.608638056270759e-28	8.075416445322644e-27
ENSMUSG00000006403	-3.9441838939966876	8.377018073483752	8.792937447626083e-28	8.18720175678962e-27
ENSMUSG00000057335	-2.466124452163039	10.551629940301844	9.633349372663734e-28	8.903764824586994e-27
ENSMUSG00000073557	2.1079779914672088	12.196242921280808	1.2572621629121493e-27	1.1535609772120962e-26
ENSMUSG00000006411	-5.2343242299677675	7.146547361438827	3.362056516226541e-27	3.062394957171567e-26
ENSMUSG00000026000	-2.314122707724247	10.144865966229299	5.032674311708001e-27	4.5511306545445735e-26
ENSMUSG00000026103	-2.0115665157904212	11.922180566668699	5.4635244154464725e-27	4.905464421583011e-26
ENSMUSG00000041144	-6.448446449854213	6.735648402250026	6.785384147435325e-27	6.049097782500853e-26
ENSMUSG00000026608	-2.38052155240663	9.87238576514772	1.1814547897210057e-26	1.045837092027679e-25
ENSMUSG00000034000	-6.952534741654139	6.507150822004661	1.538301512045274e-26	1.3521993011474892e-25
ENSMUSG00000054203	7.540061525266095	6.781487733756416	1.8836987889614456e-26	1.6443120678642616e-25
ENSMUSG00000026170	2.486240561815515	10.28422249625545	2.1084293799991003e-26	1.827790159075082e-25
ENSMUSG00000026024	-2.350788199018163	11.136638870067177	2.154241145252461e-26	1.8536417166401315e-25
ENSMUSG00000026319	-2.4257068327812403	9.67980935098882	2.1677432963094614e-26	1.8536417166401315e-25
ENSMUSG00000046828	10.77531492588921	8.497132975773876	2.3596127812333342e-26	2.0040765310880413e-25
ENSMUSG00000040648	-3.194774306499894	8.96145706159698	3.9985487207432546e-26	3.3732723100498466e-25
ENSMUSG00000002459	-5.811940147887479	6.611388569900504	5.512068445306859e-26	4.619113357167149e-25
ENSMUSG00000026620	-4.263016846130554	9.478576569032715	7.803788129774117e-26	6.496266012666267e-25
